Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Kileleshwa,Apartment,4,3,230.0,SQ,23000000.0,100000.0,3.33,0.5,7,0.0304,0.75,0,Apartment
Kileleshwa,Apartment,1,1,109.75915899677643,SQ,5700000.0,51931.88,3.33,0.5,2,0.0182,1.0,0,Apartment
Kasarani,Apartment,1,1,31.0,SQ,3500000.0,112903.23,11.8,0.5,2,0.0645,1.0,0,Apartment
Kahawa,House,4,4,250.0,SQ,25000000.0,100000.0,16.05,0.5,8,0.032,1.0,0,House
Kilimani,Apartment,3,3,135.0,"SQ, Store",14800000.0,109629.63,3.85,1.0,6,0.0444,1.0,0,Apartment
Kilimani,Apartment,3,3,125.0,SQ,12000000.0,96000.0,3.85,0.5,6,0.048,1.0,0,Apartment
Roysambu,Apartment,3,3,134.0,SQ,14500000.0,108208.96,11.34,0.5,6,0.0448,1.0,0,Apartment
Kileleshwa,Apartment,3,3,194.5437512978292,Garden,14500000.0,74533.36,3.33,0.5,6,0.0308,1.0,0,Apartment
Kilimani,Apartment,3,3,150.0,"En Suite, SQ",15000000.0,100000.0,3.85,1.0,6,0.04,1.0,0,Apartment
Kileleshwa,Apartment,3,3,160.0,SQ,15500000.0,96875.0,3.33,0.5,6,0.0375,1.0,0,Apartment
Valley Arcade,Townhouse,3,3,150.0,"Parking, Borehole, Lift, En Suite, Balcony, SQ, Gate",16500000.0,110000.0,3.71,5.0,6,0.04,1.0,0,House
Kileleshwa,Apartment,3,3,170.0,SQ,19000000.0,111764.71,3.33,0.5,6,0.0353,1.0,0,Apartment
Hurlingham,Apartment,3,3,171.0,"Lift, SQ",15000000.0,87719.3,4.38,2.0,6,0.0351,1.0,0,Apartment
Kabete,Studio,1,1,25.5,SQ,2435400.0,95505.88,9.35,0.5,2,0.0784,1.0,0,Apartment
South B,House,4,4,250.0,"En Suite, SQ",25000000.0,100000.0,3.1,1.0,8,0.032,1.0,0,House
Kilimani,Studio,1,1,70.0,"SQ, Gate",4500000.0,64285.71,3.85,1.0,2,0.0286,1.0,0,Apartment
Westlands,Land,3,3,130.0,SQ,14450000.0,111153.85,2.93,0.5,6,0.0462,1.0,0,Other
Buruburu,Townhouse,4,5,260.0,SQ,15900000.0,61153.85,6.43,0.5,9,0.0346,1.25,0,House
Kilimani,Apartment,3,3,251.0,"Balcony, SQ",35000000.0,139442.23,3.85,1.0,6,0.0239,1.0,0,Apartment
Kileleshwa,Apartment,3,3,221.94638079951127,"Borehole, Lift",13800000.0,62177.18,3.33,2.5,6,0.027,1.0,0,Apartment
Nairobi,Bungalow,2,2,100.0,SQ,2600000.0,26000.0,0.0,0.5,4,0.04,1.0,0,House
Westlands,Villa,2,2,95.0,SQ,12600000.0,132631.58,2.93,0.5,4,0.0421,1.0,0,House
Syokimau,Maisonette,4,3,225.0,"Garden, Security, SQ, Gate, Store",15000000.0,66666.67,11.23,3.0,7,0.0311,0.75,0,House
Riverside,Apartment,4,4,280.0,"SQ, Gate",15000000.0,53571.43,2.29,1.0,8,0.0286,1.0,0,Apartment
