Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date,Source
Kilimani,Apartment,3,2,N/A,En Suite,13700000,N/A,BuyRentKenya
Lavington,Apartment,2,2,N/A,En Suite,10700000,N/A,BuyRentKenya
Westlands,Townhouse,2,3,132,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10,BuyRentKenya
Lavington,Apartment,2,3,124,En Suite,9900000,N/A,BuyRentKenya
Westlands,Land,4,N/A,N/A,En Suite,120000000,N/A,BuyRentKenya
Lavington,Apartment,1,2,64,Swimming Pool,5500000,N/A,BuyRentKenya
Westlands,Land,1,2,65,Swimming Pool,6000000,N/A,BuyRentKenya
Lavington,Land,N/A,N/A,N/A,None,250000000,N/A,BuyRentKenya
Kilimani,Apartment,3,3,132,En Suite,13900000,N/A,BuyRentKenya
Lavington,Townhouse,2,3,142,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10,BuyRentKenya
Westlands,Land,5,6,N/A,En Suite,185000000,N/A,BuyRentKenya
Lavington,Villa,5,5,N/A,En Suite,95000000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,1274,En Suite,13500000,N/A,BuyRentKenya
Spring Valley,Townhouse,5,6,N/A,"Garden, En Suite",110000000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,1192,En Suite,13200000,N/A,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,12500000,N/A,BuyRentKenya
Lavington,Apartment,3,3,N/A,En Suite,13000000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,1024,Swimming Pool,11300000,N/A,BuyRentKenya
Lavington,Apartment,2,2,N/A,En Suite,9200000,N/A,BuyRentKenya
Lavington,Apartment,1,1,N/A,En Suite,6500000,N/A,BuyRentKenya
Lavington,Townhouse,5,N/A,N/A,Gate,72000000,N/A,BuyRentKenya
Karen,Land,N/A,N/A,4046.9,None,85000000,N/A,BuyRentKenya
Westlands,Land,5,N/A,N/A,En Suite,125000000,N/A,BuyRentKenya
Lavington,Apartment,3,4,165,En Suite,15000000,N/A,BuyRentKenya
Westlands,Land,2,3,122,En Suite,9800000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,N/A,En Suite,10500000,N/A,BuyRentKenya
Westlands,Land,4,5,N/A,En Suite,21000000,N/A,BuyRentKenya
Ngong Road,Land,N/A,N/A,3055.4,None,280000000,N/A,BuyRentKenya
Westlands,Land,1,1,5708,"Swimming Pool, Gym",5200000,N/A,BuyRentKenya
Kileleshwa,Apartment,3,3,N/A,En Suite,30000000,N/A,BuyRentKenya
Lavington,Townhouse,1,1,5708,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,11,BuyRentKenya
Kileleshwa,Apartment,2,2,128,Swimming Pool,12500000,N/A,BuyRentKenya
Westlands,Land,2,1,8534,Swimming Pool,11690000,N/A,BuyRentKenya
Westlands,Townhouse,1,1,128,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,11900000,N/A,BuyRentKenya
Roysambu,Studio,N/A,1,N/A,Swimming Pool,2500000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,119,En Suite,11200000,N/A,BuyRentKenya
Kileleshwa,Apartment,2,2,111,En Suite,10400000,N/A,BuyRentKenya
Kilimani,Apartment,2,1,113,Swimming Pool,11200000,N/A,BuyRentKenya
Westlands,Land,2,2,119,Swimming Pool,16600000,N/A,BuyRentKenya
Westlands,Land,2,1,113,Swimming Pool,13200000,N/A,BuyRentKenya
Westlands,Land,2,2,107,En Suite,14900000,N/A,BuyRentKenya
Westlands,Townhouse,2,2,119,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,8,BuyRentKenya
Westlands,Land,5,6,N/A,En Suite,128000000,N/A,BuyRentKenya
Westlands,Land,2,2,90,Swimming Pool,12900000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,65,Gym,6000000,N/A,BuyRentKenya
Westlands,Land,1,1,58,Swimming Pool,8200000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,67,Gym,7200000,N/A,BuyRentKenya
Kilimani,Apartment,2,1,97,Swimming Pool,9200000,N/A,BuyRentKenya
Lavington,Apartment,2,1,90,Gym,9500000,N/A,BuyRentKenya
Lavington,Apartment,1,1,60,Swimming Pool,6500000,N/A,BuyRentKenya
Kilimani,Apartment,2,3,110,En Suite,11500000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,107,En Suite,11200000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,83,Swimming Pool,8700000,N/A,BuyRentKenya
Kilimani,Apartment,1,1,61,Swimming Pool,6400000,N/A,BuyRentKenya
Westlands,Land,3,3,158,"En Suite, SQ",19800000,N/A,BuyRentKenya
Lavington,Apartment,3,3,N/A,En Suite,21000000,N/A,BuyRentKenya
Nairobi,Studio,N/A,1,23,En Suite,2300000,N/A,BuyRentKenya
Westlands,Land,2,2,9066,Swimming Pool,12000000,N/A,BuyRentKenya
Westlands,Land,1,1,5962,Swimming Pool,7900000,N/A,BuyRentKenya
Westlands,Land,1,1,5708,Swimming Pool,7600000,N/A,BuyRentKenya
Westlands,Land,3,3,14243,Swimming Pool,19000000,N/A,BuyRentKenya
Westlands,Land,2,1,130,Swimming Pool,17200000,N/A,BuyRentKenya
Westlands,Villa,5,5,N/A,En Suite,120000000,N/A,BuyRentKenya
Westlands,Land,2,2,8267,Swimming Pool,11000000,N/A,BuyRentKenya
Westlands,Land,2,1,109,Swimming Pool,13800000,N/A,BuyRentKenya
Lavington,Townhouse,3,3,23,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,9,BuyRentKenya
Westlands,Land,1,1,N/A,En Suite,8100000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,75,None,7500000,N/A,BuyRentKenya
Westlands,Land,1,1,87,Swimming Pool,9950000,N/A,BuyRentKenya
Westlands,Land,1,1,69,"Swimming Pool, Gym",7500000,N/A,BuyRentKenya
Westlands,Studio,N/A,1,48,Swimming Pool,6900000,N/A,BuyRentKenya
Karen,Townhouse,4,5,399,En Suite,80000000,N/A,BuyRentKenya
Westlands,Land,2,1,113,Swimming Pool,11230000,N/A,BuyRentKenya
Westlands,Studio,N/A,N/A,N/A,Swimming Pool,5800000,N/A,BuyRentKenya
Kileleshwa,Townhouse,3,3,75,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,11,BuyRentKenya
Karen,Commercial,N/A,N/A,4046.9,None,100000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,100000000,N/A,PropertyPro
Riverside,Townhouse,N/A,N/A,N/A,None,63800000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,63800000,N/A,PropertyPro
Ngong,Land,N/A,N/A,849.8,None,155000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,155000000,N/A,PropertyPro
Riverside,Townhouse,4,5,N/A,SQ,120000000,N/A,PropertyPro
Nairobi,Apartment,4,5,N/A,None,120000000,N/A,PropertyPro
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",2025000000,N/A,PropertyPro
Runda,Land,N/A,N/A,2023.4,None,55000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,55000000,N/A,PropertyPro
Ngara,Land,N/A,N/A,918.6,None,100000000,N/A,PropertyPro
Muthaiga,Maisonette,5,5,N/A,None,550000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,550000000,N/A,PropertyPro
Muthaiga,Maisonette,4,5,N/A,None,245000000,N/A,PropertyPro
Nairobi,Apartment,4,5,N/A,None,245000000,N/A,PropertyPro
Ruaka,Apartment,1,1,N/A,None,4600000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,4600000,N/A,PropertyPro
Karen,Commercial,N/A,N/A,N/A,None,95000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,95000000,N/A,PropertyPro
Kilimani,Apartment,5,5,N/A,None,54000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,54000000,N/A,PropertyPro
Kilimani,Apartment,4,4,N/A,None,44000000,N/A,PropertyPro
Nairobi,Apartment,4,4,N/A,None,44000000,N/A,PropertyPro
Kilimani,Apartment,3,3,N/A,None,33000000,N/A,PropertyPro
Nairobi,Apartment,3,3,N/A,None,33000000,N/A,PropertyPro
Westlands,Land,3,3,N/A,None,24610000,N/A,PropertyPro
Nairobi,Apartment,3,3,N/A,None,24610000,N/A,PropertyPro
Runda,Land,N/A,N/A,4046.9,None,130000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,130000000,N/A,PropertyPro
Lavington,Townhouse,4,4,N/A,Garden,85000000,N/A,PropertyPro
Nairobi,Apartment,4,4,N/A,None,85000000,N/A,PropertyPro
Riverside,Apartment,3,3,N/A,SQ,38000000,N/A,PropertyPro
Nairobi,Apartment,3,3,N/A,None,38000000,N/A,PropertyPro
South C,Apartment,2,2,N/A,None,11000000,N/A,PropertyPro
Nairobi,Apartment,2,2,N/A,None,11000000,N/A,PropertyPro
Karen,Land,N/A,N/A,8093.7,None,45000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,45000000,N/A,PropertyPro
Karen,Land,N/A,N/A,4046.9,None,100000000,N/A,PropertyPro
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",2025000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,1000000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A,PropertyPro
Industrial Area,Commercial,N/A,N/A,N/A,"Garden, Gate",N/A,N/A,PropertyPro
Kitisuru,Maisonette,5,5,N/A,None,185000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,185000000,N/A,PropertyPro
Lavington,Apartment,5,5,N/A,None,41000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,41000000,N/A,PropertyPro
Westlands,Townhouse,4,4,N/A,"Swimming Pool, Garden",85000000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,15500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,15500000,N/A,PropertyPro
Industrial Area,Townhouse,1,5,56,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,10000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,10000000,N/A,PropertyPro
Kilimani,House,4,N/A,N/A,None,35000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,35000000,N/A,PropertyPro
Lavington,Apartment,1,N/A,56,SQ,6300000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,6300000,N/A,PropertyPro
Lavington,Apartment,1,N/A,50,SQ,5800000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,5800000,N/A,PropertyPro
Lavington,Apartment,2,N/A,N/A,None,12000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,12000000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,10500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,10500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,15000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,15000000,N/A,PropertyPro
Kilimani,Apartment,4,3,N/A,None,34500000,N/A,PropertyPro
Nairobi,Apartment,3,3,N/A,None,34500000,N/A,PropertyPro
Upper Hill,Apartment,2,1,N/A,None,24232000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,24232000,N/A,PropertyPro
Lavington,Townhouse,5,5,N/A,Garden,110000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,110000000,N/A,PropertyPro
Westlands,Land,2,N/A,N/A,None,9300000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,9300000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,20000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,20000000,N/A,PropertyPro
Riverside,Apartment,3,N/A,N/A,None,16500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,16500000,N/A,PropertyPro
Riverside,Apartment,2,N/A,N/A,None,13500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,13500000,N/A,PropertyPro
Kileleshwa,Apartment,2,N/A,N/A,None,16000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,16000000,N/A,PropertyPro
Kilimani,House,4,N/A,N/A,None,45000000,N/A,PropertyPro
Industrial Area,Townhouse,1,5,56,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000,N/A,PropertyPro
Lavington,House,3,N/A,N/A,None,35000000,N/A,PropertyPro
Kileleshwa,Apartment,4,N/A,N/A,None,25000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,25000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,19900000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,19900000,N/A,PropertyPro
Lavington,House,7,N/A,N/A,None,105000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,105000000,N/A,PropertyPro
