Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Ngong Road,Land,N/A,N/A,3055.4,None,280000000,N/A
Westlands,Land,1,1,5708,"Swimming Pool, Gym",5200000,N/A
Kileleshwa,Apartment,3,3,N/A,En Suite,30000000,N/A
Lavington,Townhouse,1,1,5708,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,11
Kileleshwa,Apartment,2,2,128,Swimming Pool,12500000,N/A
Westlands,Land,2,1,8534,Swimming Pool,11690000,N/A
Westlands,Townhouse,1,1,128,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10
Westlands,Land,2,2,N/A,En Suite,11900000,N/A
Roysambu,Studio,N/A,1,N/A,Swimming Pool,2500000,N/A
Kileleshwa,Apartment,2,2,119,En Suite,11200000,N/A
Kileleshwa,Apartment,2,2,111,En Suite,10400000,N/A
Kilimani,Apartment,2,1,113,Swimming Pool,11200000,N/A
Westlands,Land,2,2,119,Swimming Pool,16600000,N/A
Westlands,Land,2,1,113,Swimming Pool,13200000,N/A
Westlands,Land,2,2,107,En Suite,14900000,N/A
Westlands,Townhouse,2,2,119,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,8
Westlands,Land,5,6,N/A,En Suite,128000000,N/A
Westlands,Land,2,2,90,Swimming Pool,12900000,N/A
Kilimani,Apartment,1,1,65,Gym,6000000,N/A
Westlands,Land,1,1,58,Swimming Pool,8200000,N/A
Kilimani,Apartment,1,1,67,Gym,7200000,N/A
Kilimani,Apartment,2,1,97,Swimming Pool,9200000,N/A
Lavington,Apartment,2,1,90,Gym,9500000,N/A
Lavington,Apartment,1,1,60,Swimming Pool,6500000,N/A
Kilimani,Apartment,2,3,110,En Suite,11500000,N/A
Kilimani,Apartment,2,2,107,En Suite,11200000,N/A
Kilimani,Apartment,1,1,83,Swimming Pool,8700000,N/A
Kilimani,Apartment,1,1,61,Swimming Pool,6400000,N/A
Westlands,Land,3,3,158,"En Suite, SQ",19800000,N/A
Lavington,Apartment,3,3,N/A,En Suite,21000000,N/A
Nairobi,Studio,N/A,1,23,En Suite,2300000,N/A
Westlands,Land,2,2,9066,Swimming Pool,12000000,N/A
Westlands,Land,1,1,5962,Swimming Pool,7900000,N/A
Westlands,Land,1,1,5708,Swimming Pool,7600000,N/A
Westlands,Land,3,3,14243,Swimming Pool,19000000,N/A
Westlands,Land,2,1,130,Swimming Pool,17200000,N/A
Westlands,Villa,5,5,N/A,En Suite,120000000,N/A
Westlands,Land,2,2,8267,Swimming Pool,11000000,N/A
Westlands,Land,2,1,109,Swimming Pool,13800000,N/A
Lavington,Townhouse,3,3,23,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,9
Westlands,Land,1,1,N/A,En Suite,8100000,N/A
Kilimani,Apartment,2,2,75,None,7500000,N/A
Westlands,Land,1,1,87,Swimming Pool,9950000,N/A
Westlands,Land,1,1,69,"Swimming Pool, Gym",7500000,N/A
Westlands,Studio,N/A,1,48,Swimming Pool,6900000,N/A
Karen,Townhouse,4,5,399,En Suite,80000000,N/A
Westlands,Land,2,1,113,Swimming Pool,11230000,N/A
Westlands,Studio,N/A,N/A,N/A,Swimming Pool,5800000,N/A
Kileleshwa,Townhouse,3,3,75,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,11
Karen,Commercial,N/A,N/A,4046.9,None,100000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,100000000,N/A
Riverside,Townhouse,N/A,N/A,N/A,None,63800000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,63800000,N/A
Ngong,Land,N/A,N/A,849.8,None,155000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,155000000,N/A
Riverside,Townhouse,4,5,N/A,SQ,120000000,N/A
Nairobi,Apartment,4,5,N/A,None,120000000,N/A
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",2025000000,N/A
Runda,Land,N/A,N/A,2023.4,None,55000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,55000000,N/A
Ngara,Land,N/A,N/A,918.6,None,100000000,N/A
Muthaiga,Maisonette,5,5,N/A,None,550000000,N/A
Nairobi,Apartment,5,5,N/A,None,550000000,N/A
Muthaiga,Maisonette,4,5,N/A,None,245000000,N/A
Nairobi,Apartment,4,5,N/A,None,245000000,N/A
Ruaka,Apartment,1,1,N/A,None,4600000,N/A
Nairobi,Apartment,1,1,N/A,None,4600000,N/A
Karen,Commercial,N/A,N/A,N/A,None,95000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,95000000,N/A
Kilimani,Apartment,5,5,N/A,None,54000000,N/A
Nairobi,Apartment,5,5,N/A,None,54000000,N/A
Kilimani,Apartment,4,4,N/A,None,44000000,N/A
Nairobi,Apartment,4,4,N/A,None,44000000,N/A
Kilimani,Apartment,3,3,N/A,None,33000000,N/A
Nairobi,Apartment,3,3,N/A,None,33000000,N/A
Westlands,Land,3,3,N/A,None,24610000,N/A
Nairobi,Apartment,3,3,N/A,None,24610000,N/A
Runda,Land,N/A,N/A,4046.9,None,130000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,130000000,N/A
Lavington,Townhouse,4,4,N/A,Garden,85000000,N/A
Nairobi,Apartment,4,4,N/A,None,85000000,N/A
Riverside,Apartment,3,3,N/A,SQ,38000000,N/A
Nairobi,Apartment,3,3,N/A,None,38000000,N/A
South C,Apartment,2,2,N/A,None,11000000,N/A
Nairobi,Apartment,2,2,N/A,None,11000000,N/A
Karen,Land,N/A,N/A,8093.7,None,45000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,45000000,N/A
Karen,Land,N/A,N/A,4046.9,None,100000000,N/A
Industrial Area,Townhouse,1,5,4046.9,"Garden, Parking, Borehole, Lift, Balcony, CCTV, Generator, SQ",2025000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,1000000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14020169,N/A
Industrial Area,Commercial,N/A,N/A,N/A,"Garden, Gate",N/A,N/A
Kitisuru,Maisonette,5,5,N/A,None,185000000,N/A
Nairobi,Apartment,5,5,N/A,None,185000000,N/A
Lavington,Apartment,5,5,N/A,None,41000000,N/A
Nairobi,Apartment,5,5,N/A,None,41000000,N/A
Westlands,Townhouse,4,4,N/A,"Swimming Pool, Garden",85000000,N/A
Lavington,Apartment,3,N/A,N/A,None,15500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,15500000,N/A
Industrial Area,Townhouse,1,5,56,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000,N/A
Kilimani,Apartment,3,N/A,N/A,None,10000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,10000000,N/A
Kilimani,House,4,N/A,N/A,None,35000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,35000000,N/A
Lavington,Apartment,1,N/A,56,SQ,6300000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,6300000,N/A
Lavington,Apartment,1,N/A,50,SQ,5800000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,5800000,N/A
Lavington,Apartment,2,N/A,N/A,None,12000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,12000000,N/A
Kilimani,Apartment,3,N/A,N/A,None,10500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,10500000,N/A
Kilimani,Apartment,2,N/A,N/A,None,15000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,15000000,N/A
Kilimani,Apartment,4,3,N/A,None,34500000,N/A
Nairobi,Apartment,3,3,N/A,None,34500000,N/A
Upper Hill,Apartment,2,1,N/A,None,24232000,N/A
Nairobi,Apartment,1,1,N/A,None,24232000,N/A
Lavington,Townhouse,5,5,N/A,Garden,110000000,N/A
Nairobi,Apartment,5,5,N/A,None,110000000,N/A
Westlands,Land,2,N/A,N/A,None,9300000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,9300000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,20000000,N/A
