Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Langata,Townhouse,4,2,170,"Gym, Parking, Lift, SQ, Gate, Store",26000000,N/A
Nairobi,Maisonette,4,N/A,297,SQ,14000000,N/A
Kileleshwa,Apartment,2,N/A,96,SQ,10987788,N/A
Parklands,Land,3,N/A,2800,SQ,21000000,N/A
Nairobi,Maisonette,5,N/A,500,"SQ, Gate",16000000,N/A
Embakasi,Apartment,3,N/A,135,SQ,8750000,N/A
Kilimani,House,3,N/A,204,SQ,29400000,N/A
Embakasi,Bungalow,4,N/A,450,"SQ, Gate",20000000,N/A
Lavington,House,1,N/A,60,SQ,7600000,N/A
Dagoretti,Bungalow,3,N/A,200,SQ,20000000,N/A
Kileleshwa,Bungalow,1,N/A,60,"Gym, Lift, SQ",7000000,N/A
Westlands,Land,3,N/A,64,SQ,6500000,N/A
Runda,House,4,N/A,380,SQ,120000000,N/A
Lower Kabete,Apartment,2,2,N/A,Lift,12500000,N/A
Dagoretti,Apartment,1,N/A,80,"Parking, SQ, Lift",6500000,N/A
Parklands,Land,3,N/A,190,SQ,14000000,N/A
Embakasi,Maisonette,3,N/A,250,SQ,9999999,N/A
Kahawa,Apartment,4,N/A,105,SQ,13000000,N/A
Nairobi,Bungalow,2,N/A,100,SQ,2600000,N/A
Karen,House,4,N/A,5000,SQ,80000000,N/A
Westlands,Land,2,N/A,270,SQ,13500000,N/A
Mwiki,Bungalow,3,N/A,2500,SQ,6200000,N/A
Valley Arcade,Townhouse,4,N/A,400,"SQ, Store",65000000,N/A
Kileleshwa,Maisonette,4,N/A,3530,SQ,155000000,N/A
Westlands,Townhouse,4,2,2500,"Swimming Pool, Garden, SQ, Gate",26500000,N/A
Lavington,Villa,5,N/A,557,"Swimming Pool, SQ",155000000,N/A
Parklands,Land,3,N/A,200,SQ,19500000,N/A
Hurlingham,Apartment,3,N/A,167,SQ,18000000,N/A
Nairobi,Apartment,2,N/A,95,SQ,8000000,N/A
Westlands,Land,3,N/A,200,SQ,28000000,N/A
Westlands,Land,1,N/A,58,SQ,7300000,N/A
Mwiki,Bedsitter,2,2,N/A,None,42000000,N/A
Kilimani,Apartment,4,N/A,400,SQ,28000000,N/A
Dagoretti,Studio,1,N/A,24,SQ,2700000,N/A
Hurlingham,Apartment,2,N/A,102,SQ,10500000,N/A
Hurlingham,House,1,N/A,56,SQ,8800000,N/A
Imara Daima,Villa,2,1,N/A,Garden,4500000,N/A
Kilimani,Apartment,3,3,N/A,None,12000000,N/A
Valley Arcade,Apartment,4,N/A,400,SQ,16000000,N/A
Kilimani,Apartment,2,N/A,185,SQ,11000000,N/A
Ruiru,Maisonette,4,N/A,262,SQ,20500000,N/A
Nairobi,Bungalow,3,N/A,152,"SQ, Gate",9750000,N/A
Valley Arcade,Apartment,4,N/A,251,SQ,27000000,N/A
Nairobi,Bungalow,3,N/A,150,SQ,9750000,N/A
Lavington,Apartment,4,N/A,400,SQ,110000000,N/A
Kileleshwa,Apartment,4,N/A,270,SQ,24500000,N/A
Kahawa Wendani,House,6,N/A,600,SQ,28000000,N/A
Ridgeways,Townhouse,4,N/A,320,SQ,75000000,N/A
Runda,Townhouse,4,N/A,600,"Swimming Pool, Security, Lift, En Suite, Fibre, SQ, Gate",350000000,N/A
South B,Apartment,2,N/A,200,"Security, SQ",7000000,N/A
Kasarani,Land,2,N/A,464,SQ,39500000,N/A
Kitisuru,Apartment,2,N/A,113,SQ,12500000,N/A
Imara Daima,Maisonette,4,N/A,200,SQ,16000000,N/A
Hurlingham,Maisonette,3,N/A,980,SQ,85000000,N/A
Kileleshwa,Apartment,4,N/A,270,SQ,25800000,N/A
Kilimani,House,2,N/A,120,"SQ, Gate",14500000,N/A
Westlands,Townhouse,4,N/A,250,SQ,50000000,N/A
Upper Hill,Apartment,3,N/A,174,SQ,19800000,N/A
Githurai,Apartment,1,N/A,3200,SQ,80000000,N/A
Hurlingham,Studio,1,N/A,43,SQ,5200000,N/A
Westlands,Land,4,N/A,160,SQ,33650000,N/A
Westlands,Villa,5,N/A,200,SQ,131000000,N/A
Kileleshwa,Studio,1,N/A,48,SQ,4500000,N/A
South C,Apartment,2,N/A,152,"En Suite, Fibre, SQ",12500000,N/A
Westlands,Land,1,N/A,52,"SQ, Gate",5500000,N/A
Westlands,Land,1,N/A,41,SQ,5800000,N/A
Westlands,Land,1,N/A,59,SQ,7800000,N/A
Westlands,Maisonette,4,N/A,300,SQ,34000000,N/A
Lower Kabete,Land,1,N/A,33,SQ,3300000,N/A
Kilimani,Apartment,3,N/A,260,"Lift, SQ",15500000,N/A
Muthaiga,Bungalow,5,N/A,657,SQ,400000000,N/A
Ridgeways,House,8,N/A,500,"Swimming Pool, SQ",110000000,N/A
Embakasi,Townhouse,3,20,250,"Gym, Garden, Security, SQ, Gate, Intercom",7700000,N/A
Ridgeways,House,5,N/A,600,SQ,64000000,N/A
Kileleshwa,Apartment,3,N/A,190,SQ,16500000,N/A
Kasarani,House,6,N/A,999,SQ,55000000,N/A
Imara Daima,Maisonette,4,N/A,250,"Security, SQ, Gate",15000000,N/A
Kileleshwa,Apartment,2,N/A,130,SQ,12500000,N/A
Parklands,Land,3,N/A,250,SQ,21500000,N/A
Kileleshwa,Apartment,4,N/A,230,SQ,22000000,N/A
Kileleshwa,Apartment,2,N/A,90,SQ,8500000,N/A
Kileleshwa,Apartment,1,N/A,60,SQ,7500000,N/A
Westlands,Townhouse,4,N/A,1056,SQ,113000000,N/A
Kasarani,Bedsitter,20,20,N/A,None,130000000,N/A
Westlands,Studio,1,N/A,48,SQ,8200000,N/A
Parklands,Land,2,N/A,90,SQ,8000000,N/A
Parklands,Maisonette,4,N/A,2800,"SQ, Gate",22500000,N/A
Nairobi,Bungalow,3,N/A,150,SQ,9500000,N/A
Kilimani,Apartment,1,N/A,43,SQ,5200000,N/A
Kilimani,Apartment,1,N/A,55,SQ,6500000,N/A
Langata,Townhouse,5,N/A,N/A,None,44000000,N/A
Nairobi,House,4,N/A,236,SQ,14000000,N/A
Westlands,Land,1,N/A,67,"Gym, SQ, Intercom",7600000,N/A
Westlands,Land,1,N/A,104,SQ,6440000,N/A
Garden Estate,House,4,N/A,474,"Garden, SQ",55000000,N/A
Westlands,Land,2,N/A,94,SQ,15540000,N/A
Dagoretti,Townhouse,1,3,49,"Security, Borehole, SQ, Gate",4900000,N/A
Kilimani,Apartment,3,3,N/A,None,13100000,N/A
Langata,House,4,N/A,260,SQ,35900000,N/A
Westlands,Land,2,N/A,1700,SQ,22400000,N/A
Eastleigh,Apartment,2,2,N/A,None,285000000,N/A
Muthaiga,Apartment,2,N/A,185,SQ,13000000,N/A
Runda,Villa,4,N/A,350,"Security, SQ",52000000,N/A
Westlands,Land,1,N/A,57,SQ,7700000,N/A
Nairobi,Bungalow,3,N/A,150,"SQ, Gate",9550000,N/A
Kileleshwa,House,4,N/A,270,SQ,29500000,N/A
Karen,House,5,N/A,500,SQ,99000000,N/A
Kahawa,Bedsitter,54,N/A,3200,SQ,61000000,N/A
Roysambu,Commercial,1,N/A,465,"Borehole, SQ",122000000,N/A
Westlands,Land,3,N/A,198,SQ,22250000,N/A
Kilimani,Apartment,1,N/A,70,SQ,6900000,N/A
Dagoretti,Apartment,2,N/A,65,SQ,7800000,N/A
Komarock,House,6,N/A,400,SQ,23000000,N/A
Kilimani,Apartment,2,N/A,75,SQ,7500000,N/A
Runda,House,5,N/A,500,SQ,110000000,N/A
Nairobi West,Townhouse,5,4,N/A,None,34000000,N/A
South C,Commercial,5,4,N/A,None,35000000,N/A
Kilimani,Apartment,2,N/A,95,SQ,7500000,N/A
Nairobi,Apartment,2,N/A,5000,SQ,12300000,N/A
Hurlingham,Maisonette,3,3,190,"Swimming Pool, Gym, Garden, SQ, Gate, Laundry",23000000,N/A
Kileleshwa,Apartment,1,N/A,55,SQ,7500000,N/A
Kilimani,Apartment,3,N/A,65,SQ,7200000,N/A
Westlands,Land,1,N/A,65,SQ,7000000,N/A
Hurlingham,House,2,N/A,60,"Garden, SQ",11500000,N/A
Imara Daima,Apartment,3,2,N/A,"Garden, SQ, Laundry",13500000,N/A
Kilimani,Studio,1,N/A,22,SQ,1900000,N/A
Thome,Maisonette,5,N/A,1400,SQ,89000000,N/A
Kileleshwa,Studio,1,N/A,42,SQ,4500000,N/A
Komarock,Maisonette,4,N/A,505,SQ,12500000,N/A
Kasarani,Apartment,18,N/A,1023,SQ,155000000,N/A
Parklands,Land,3,N/A,2700,SQ,21000000,N/A
Kileleshwa,Maisonette,4,N/A,130,SQ,38000000,N/A
Imara Daima,House,3,N/A,59,"Swimming Pool, Gym, SQ",10500000,N/A
Kilimani,Apartment,2,5,80,"SQ, Laundry",9000000,N/A
Hurlingham,Apartment,3,N/A,134,SQ,15200000,N/A
Kileleshwa,Apartment,1,N/A,58,SQ,7500000,N/A
Westlands,Land,3,3,N/A,SQ,30000000,N/A
Kasarani,Bedsitter,2,N/A,786,SQ,26000000,N/A
Parklands,Land,5,N/A,1000,"Garden, SQ",160000000,N/A
Langata,Maisonette,3,N/A,1140,SQ,15000000,N/A
Kileleshwa,Apartment,3,N/A,208,SQ,19500000,N/A
Kahawa,House,5,N/A,400,"SQ, Gate",55000000,N/A
Ridgeways,Maisonette,6,5,450,"Swimming Pool, Gym, Garden, Lift, SQ, Store",70000000,N/A
South C,House,8,5,N/A,None,95000000,N/A
Kilimani,House,6,N/A,1000,"Swimming Pool, SQ",65000000,N/A
Westlands,Land,1,N/A,41,SQ,5800000,N/A
Westlands,Land,1,N/A,5000,SQ,7800000,N/A
Lavington,House,5,N/A,370,"SQ, Store",80000000,N/A
Kilimani,Studio,1,1,N/A,None,1900000,N/A
Garden Estate,Villa,5,N/A,350,"Garden, SQ",75000000,N/A
Nairobi,Apartment,3,N/A,300,"Garden, SQ",14500000,N/A
Kasarani,Commercial,1,1,N/A,None,25000000,N/A
Lavington,Apartment,3,N/A,170,SQ,23000000,N/A
Kilimani,Apartment,2,N/A,70,SQ,7500000,N/A
Hurlingham,Land,3,N/A,205,SQ,29500000,N/A
Lavington,Maisonette,5,N/A,450,SQ,75000000,N/A
Valley Arcade,Apartment,3,N/A,138,SQ,12800000,N/A
Roysambu,Commercial,1,N/A,464,SQ,120000000,N/A
South C,Apartment,2,N/A,180,SQ,8000000,N/A
Kasarani,Bedsitter,1,N/A,3200,SQ,52000000,N/A
Kilimani,Apartment,3,N/A,186,SQ,12500000,N/A
Kitisuru,Villa,5,N/A,900,SQ,75000000,N/A
Kileleshwa,Apartment,3,N/A,236,SQ,22000000,N/A
Kilimani,Apartment,3,3,N/A,SQ,13500000,N/A
Thome,House,3,N/A,134,"Gym, Lift, SQ",14500000,N/A
Karen,Maisonette,5,2,550,"Gym, SQ, Gate",155000000,N/A
Hurlingham,Apartment,3,N/A,250,SQ,20000000,N/A
Hurlingham,Apartment,3,N/A,173,SQ,18500000,N/A
Westlands,Land,3,N/A,5000,SQ,18300000,N/A
Kileleshwa,House,4,N/A,338,SQ,34000000,N/A
Kilimani,Apartment,2,N/A,61,SQ,6200000,N/A
Karen,Villa,5,N/A,600,SQ,155000000,N/A
Westlands,Land,5,N/A,400,SQ,110000000,N/A
Githurai,Bedsitter,1,N/A,465,SQ,34500000,N/A
South C,Land,4,N/A,650,SQ,110000000,N/A
Westlands,Land,3,N/A,5000,"Gym, SQ",19500000,N/A
Donholm,Maisonette,4,N/A,160,"SQ, Gate",18000000,N/A
Kilimani,Apartment,3,N/A,118,SQ,14800000,N/A
Runda,Villa,5,N/A,500,SQ,150000000,N/A
Dagoretti,Apartment,2,2,N/A,None,73000000,N/A
Zimmerman,Commercial,1,N/A,465,SQ,151000000,N/A
Zimmerman,Bedsitter,1,N/A,3200,SQ,62000000,N/A
Ridgeways,Maisonette,5,N/A,500,SQ,150000000,N/A
Westlands,Land,2,N/A,5000,"SQ, Gate",11500000,N/A
Hurlingham,House,4,N/A,295,SQ,29000000,N/A
Kilimani,Apartment,1,1,N/A,None,7062000,N/A
Kitisuru,Apartment,2,N/A,112,SQ,12500000,N/A
Kahawa Wendani,Apartment,1,1,N/A,None,123000000,N/A
Roysambu,Townhouse,1,2,3200,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, Balcony, SQ, Gate, Laundry",118000000,N/A
Komarock,Maisonette,4,N/A,550,SQ,11000000,N/A
Westlands,Land,2,2,N/A,None,12100000,N/A
Karen,Villa,5,N/A,600,SQ,99000000,N/A
Kasarani,Apartment,1,1,N/A,None,58000000,N/A
Kileleshwa,Apartment,3,4,N/A,None,30000000,N/A
Garden Estate,House,4,N/A,350,"Garden, SQ",55000000,N/A
South C,Apartment,3,3,N/A,Gate,18000000,N/A
Kilimani,Apartment,4,N/A,1000,"Swimming Pool, Gym, Balcony, SQ",27800000,N/A
Kileleshwa,Apartment,2,N/A,125,SQ,14500000,N/A
Kilimani,Apartment,1,N/A,31,SQ,3400000,N/A
Kiambu,Townhouse,4,N/A,310,SQ,65000000,N/A
Kasarani,Bedsitter,1,1,N/A,None,95000000,N/A
Kileleshwa,Apartment,2,N/A,166,SQ,14000000,N/A
Dagoretti,Townhouse,6,N/A,250,SQ,25000000,N/A
Westlands,Land,2,N/A,110,"Swimming Pool, Gym, Lift, SQ, Laundry",14500000,N/A
Kilimani,Apartment,3,N/A,5000,SQ,29000000,N/A
Kileleshwa,Apartment,4,N/A,260,SQ,23500000,N/A
Garden Estate,Commercial,5,N/A,450,"Garden, SQ",90000000,N/A
Roysambu,Apartment,1,N/A,3200,SQ,156000000,N/A
Westlands,Land,1,N/A,55,"Parking, SQ",6200000,N/A
Kahawa,Apartment,2,N/A,70,SQ,5100000,N/A
Thika Road,Apartment,1,2,N/A,None,100000000,N/A
Upper Hill,Land,N/A,N/A,N/A,Solar,65,N/A
Upper Hill,Land,N/A,N/A,N/A,Solar,65,N/A
